-40.0,336098.0,
-39.0,314553.0,
-38.0,294524.0,
-37.0,275897.0,
-36.0,258563.0,
-35.0,242427.0,
-34.0,227398.0,
-33.0,213394.0,
-32.0,200339.0,
-31.0,188163.0,
-30.0,176803.0,
-29.0,166198.0,
-28.0,156294.0,
-27.0,147042.0,
-26.0,138393.0,
-25.0,130306.0,
-24.0,122741.0,
-23.0,115661.0,
-22.0,109032.0,
-21.0,102824.0,
-20.0,97006.0,
-19.0,91553.0,
-18.0,86439.0,
-17.0,81641.0,
-16.0,77138.0,
-15.0,72911.0,
-14.0,68940.0,
-13.0,65209.0,
-12.0,61703.0,
-11.0,58405.0,
-10.0,55304.0,
-9.0,52385.0,
-8.0,49638.0,
-7.0,47050.0,
-6.0,44613.0,
-5.0,42317.0,
-4.0,40151.0,
-3.0,38110.0,
-2.0,36184.0,
-1.0,34366.0,
0.0,32651.0,
1.0,31031.0,
2.0,29500.0,
3.0,28054.0,
4.0,26687.0,
5.0,25395.0,
6.0,24172.0,
7.0,23016.0,
8.0,21921.0,
9.0,20885.0,
10.0,19903.0,
11.0,18973.0,
12.0,18092.0,
13.0,17257.0,
14.0,16465.0,
15.0,15714.0,
16.0,15001.0,
17.0,14324.0,
18.0,13682.0,
19.0,13073.0,
20.0,12493.0,
21.0,11943.0,
22.0,11420.0,
23.0,10923.0,
24.0,10450.0,
25.0,10000.0,
26.0,9572.0,
27.0,9165.0,
28.0,8777.0,
29.0,8408.0,
30.0,8056.0,
31.0,7721.0,
32.0,7402.0,
33.0,7097.0,
34.0,6807.0,
35.0,6530.0,
36.0,6266.0,
37.0,6014.0,
38.0,5774.0,
39.0,5544.0,
40.0,5325.0,
41.0,5116.0,
42.0,4916.0,
43.0,4724.0,
44.0,4542.0,
45.0,4367.0,
46.0,4200.0,
47.0,4040.0,
48.0,3887.0,
49.0,3741.0,
50.0,3601.0,
51.0,3467.0,
52.0,3339.0,
53.0,3216.0,
54.0,3098.0,
55.0,2985.0,
56.0,2877.0,
57.0,2773.0,
58.0,2674.0,
59.0,2579.0,
60.0,2487.0,
61.0,2399.0,
62.0,2315.0,
63.0,2234.0,
64.0,2157.0,
65.0,2082.0,
66.0,2011.0,
67.0,1942.0,
68.0,1876.0,
69.0,1813.0,
70.0,1752.0,
71.0,1693.0,
72.0,1637.0,
73.0,1582.0,
74.0,1530.0,
75.0,1480.0,
76.0,1432.0,
77.0,1385.0,
78.0,1341.0,
79.0,1298.0,
80.0,1256.0,
81.0,1216.0,
82.0,1178.0,
83.0,1141.0,
84.0,1105.0,
85.0,1070.0,
86.0,1037.0,
87.0,1005.0,
88.0,974.0,
89.0,945.0,
90.0,916.0,
91.0,888.0,
92.0,862.0,
93.0,836.0,
94.0,811.0,
95.0,787.0,
96.0,764.0,
97.0,741.0,
98.0,720.0,
99.0,699.0,
100.0,678.0,
101.0,659.0,
102.0,640.0,
103.0,622.0,
104.0,604.0,
105.0,587.0,
106.0,571.0,
107.0,555.0,
108.0,539.0,
109.0,524.0,
110.0,510.0,
111.0,496.0,
112.0,482.0,
113.0,469.0,
114.0,457.0,
115.0,444.0,
116.0,432.0,
117.0,421.0,
118.0,410.0,
119.0,399.0,
120.0,388.0,
121.0,378.0,
122.0,368.0,
123.0,359.0,
124.0,350.0,
125.0,341.0
